municipio,Total,Branca,Preta,Parda,Indígena,perc_branca,perc_preta,perc_parda,perc_indigena,perc_negra,renda_media_estimada
Barretos,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.08770505915049559,0.29333398919468423,0.0004836977462964329,0.3810390483451798,1920.4668462087116
Bebedouro,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.06325589946290922,0.2791690194482016,0.0004202177253089257,0.3424249189111108,1796.9230193436551
Colina,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.05571529322410893,0.35148917701947596,0.0012477621656811154,0.40720447024358486,1646.2649324580914
Colômbia,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.10724365004703669,0.45076826591407965,0.0,0.5580119159611163,1345.5213983382976
Guaraci,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.07020265684088044,0.382332977795016,0.0019392999127315039,0.45253563463589647,1515.1616078355314
Jaborandi,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.08875262223656608,0.3759883814749072,0.005486525738260448,0.4647410037114733,1680.1149564375605
Monte Azul Paulista,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.04275862068965517,0.2368551724137931,0.0,0.27961379310344825,1891.4180734856009
Olímpia,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.05431896708492453,0.28794326241134754,0.0,0.34226222949627205,1747.0643559855248
Severínia,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.05985260692885185,0.43921757696811076,0.0,0.4990701838969626,1437.4553719008265
Terra Roxa,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.045477642276422765,0.3478150406504065,0.0033028455284552847,0.3932926829268293,1664.0365853658536
